game_id,season,week,home_team,home_team_id,home_points,home_record,home_rank,away_team,away_team_id,away_points,away_record,away_rank,scraped_at,is_simulated,simulation_type,is_simulated.1,simulation_type.1,is_playoff,playoff_round,bracket,playoff_round_name
20120131,2012,1,Hardball with Ryan Mathews,3,72.62,0-1-0,12,Forgetting Brandon Marshall,1,83.7,1-0-0,6,2025-06-22T00:37:55.607Z,False,,False,,False,,,
20120164,2012,1,Dragon Army,6,104.5,1-0-0,2,BedonkaGronk,4,99.14,0-1-0,8,2025-06-22T00:37:55.607Z,False,,False,,False,,,
201201128,2012,1,Swagger Badgers,12,101.52,1-0-0,3,Recepticons,8,88.32,0-1-0,10,2025-06-22T00:37:55.607Z,False,,False,,False,,,
2012011110,2012,1,Taco,11,86.58,0-1-0,11,ENDER,10,90.46,1-0-0,5,2025-06-22T00:37:55.607Z,False,,False,,False,,,
20120129,2012,1,Forte Percent Chance of Wayne,2,102.44,0-1-0,7,Gimme the docta,9,105.86,1-0-0,1,2025-06-22T00:37:55.607Z,False,,False,,False,,,
20120157,2012,1,Fifty Shades of Garay,5,98.66,0-1-0,9,I Got Weeden My Pocket,7,99.84,1-0-0,4,2025-06-22T00:37:55.607Z,False,,False,,False,,,
201202412,2012,2,BedonkaGronk,4,87.94,1-1-0,5,Swagger Badgers,12,70.36,1-1-0,7,2025-06-02T17:00:28.503Z,False,,False,,False,,,
20120236,2012,2,Hardball with Ryan Mathews,3,89.02,1-1-0,8,Dragon Army,6,82.8,1-1-0,4,2025-06-02T17:00:28.503Z,False,,False,,False,,,
201202110,2012,2,Forgetting Brandon Marshall,1,113.0,2-0-0,2,ENDER,10,59.1,1-1-0,9,2025-06-02T17:00:28.503Z,False,,False,,False,,,
20120295,2012,2,Gimme the docta,9,123.06,2-0-0,1,Fifty Shades of Garay,5,121.44,0-2-0,10,2025-06-02T17:00:28.503Z,False,,False,,False,,,
201202811,2012,2,Recepticons,8,89.8,0-2-0,11,Taco,11,99.44,1-1-0,6,2025-06-02T17:00:28.503Z,False,,False,,False,,,
20120272,2012,2,I Got Weeden My Pocket,7,88.26,2-0-0,3,Forte Percent Chance of Wayne,2,68.44,0-2-0,12,2025-06-02T17:00:28.503Z,False,,False,,False,,,
20120317,2012,3,Forgetting Brandon Marshall,1,131.66,3-0-0,1,I Got Weeden My Pocket,7,81.22,2-1-0,4,2025-06-02T17:00:41.651Z,False,,False,,False,,,
201203104,2012,3,ENDER,10,56.2,1-2-0,10,BedonkaGronk,4,72.4,2-1-0,6,2025-06-02T17:00:41.651Z,False,,False,,False,,,
20120358,2012,3,Fifty Shades of Garay,5,92.9,1-2-0,8,Recepticons,8,85.42,0-3-0,11,2025-06-02T17:00:41.651Z,False,,False,,False,,,
201203911,2012,3,Gimme the docta,9,89.54,2-1-0,2,Taco,11,112.18,2-1-0,3,2025-06-02T17:00:41.651Z,False,,False,,False,,,
20120323,2012,3,Forte Percent Chance of Wayne,2,76.82,0-3-0,12,Hardball with Ryan Mathews,3,86.18,2-1-0,7,2025-06-02T17:00:41.651Z,False,,False,,False,,,
201203612,2012,3,Dragon Army,6,56.32,1-2-0,9,Swagger Badgers,12,88.72,2-1-0,5,2025-06-02T17:00:41.651Z,False,,False,,False,,,
20120416,2012,4,Forgetting Brandon Marshall,1,86.4,3-1-0,1,Dragon Army,6,128.64,2-2-0,7,2025-06-02T17:00:54.681Z,False,,False,,False,,,
201204109,2012,4,ENDER,10,103.64,2-2-0,10,Gimme the docta,9,84.42,2-2-0,5,2025-06-02T17:00:54.681Z,False,,False,,False,,,
201204511,2012,4,Fifty Shades of Garay,5,125.02,2-2-0,4,Taco,11,85.34,2-2-0,6,2025-06-02T17:00:54.681Z,False,,False,,False,,,
20120434,2012,4,Hardball with Ryan Mathews,3,106.2,2-2-0,8,BedonkaGronk,4,134.9,3-1-0,2,2025-06-02T17:00:54.681Z,False,,False,,False,,,
20120487,2012,4,Recepticons,8,89.86,1-3-0,11,I Got Weeden My Pocket,7,74.56,2-2-0,9,2025-06-02T17:00:54.681Z,False,,False,,False,,,
201204122,2012,4,Swagger Badgers,12,118.76,3-1-0,3,Forte Percent Chance of Wayne,2,80.78,0-4-0,12,2025-06-02T17:00:54.681Z,False,,False,,False,,,
20120519,2012,5,Forgetting Brandon Marshall,1,105.7,4-1-0,1,Gimme the docta,9,78.9,2-3-0,8,2025-06-02T17:01:07.649Z,False,,False,,False,,,
20120556,2012,5,Fifty Shades of Garay,5,71.58,2-3-0,7,Dragon Army,6,89.08,3-2-0,5,2025-06-02T17:01:07.649Z,False,,False,,False,,,
20120582,2012,5,Recepticons,8,84.16,2-3-0,10,Forte Percent Chance of Wayne,2,59.06,0-5-0,12,2025-06-02T17:01:07.649Z,False,,False,,False,,,
201205710,2012,5,I Got Weeden My Pocket,7,75.66,2-3-0,11,ENDER,10,132.5,3-2-0,6,2025-06-02T17:01:07.649Z,False,,False,,False,,,
201205114,2012,5,Taco,11,95.0,2-3-0,9,BedonkaGronk,4,97.72,4-1-0,2,2025-06-02T17:01:07.649Z,False,,False,,False,,,
201205312,2012,5,Hardball with Ryan Mathews,3,124.24,3-2-0,4,Swagger Badgers,12,105.7,3-2-0,3,2025-06-02T17:01:07.649Z,False,,False,,False,,,
201206117,2012,6,Taco,11,123.34,3-3-0,6,I Got Weeden My Pocket,7,89.64,2-4-0,11,2025-06-02T17:01:20.898Z,False,,False,,False,,,
201206121,2012,6,Swagger Badgers,12,106.92,4-2-0,3,Forgetting Brandon Marshall,1,102.02,4-2-0,2,2025-06-02T17:01:20.898Z,False,,False,,False,,,
201206103,2012,6,ENDER,10,89.42,4-2-0,4,Hardball with Ryan Mathews,3,63.0,3-3-0,7,2025-06-02T17:01:20.898Z,False,,False,,False,,,
20120694,2012,6,Gimme the docta,9,64.96,2-4-0,10,BedonkaGronk,4,95.9,5-1-0,1,2025-06-02T17:01:20.898Z,False,,False,,False,,,
20120625,2012,6,Forte Percent Chance of Wayne,2,76.98,0-6-0,12,Fifty Shades of Garay,5,108.26,3-3-0,5,2025-06-02T17:01:20.898Z,False,,False,,False,,,
20120668,2012,6,Dragon Army,6,64.26,3-3-0,8,Recepticons,8,68.72,3-3-0,9,2025-06-02T17:01:20.898Z,False,,False,,False,,,
201207111,2012,7,Forgetting Brandon Marshall,1,71.72,4-3-0,3,Taco,11,75.0,4-3-0,4,2025-06-02T17:01:34.094Z,False,,False,,False,,,
20120762,2012,7,Dragon Army,6,64.18,3-4-0,10,Forte Percent Chance of Wayne,2,130.54,1-6-0,12,2025-06-02T17:01:34.094Z,False,,False,,False,,,
20120797,2012,7,Gimme the docta,9,73.02,3-4-0,8,I Got Weeden My Pocket,7,46.0,2-5-0,11,2025-06-02T17:01:34.094Z,False,,False,,False,,,
2012071012,2012,7,ENDER,10,87.18,5-2-0,2,Swagger Badgers,12,65.68,4-3-0,5,2025-06-02T17:01:34.094Z,False,,False,,False,,,
20120748,2012,7,BedonkaGronk,4,98.36,6-1-0,1,Recepticons,8,83.88,3-4-0,9,2025-06-02T17:01:34.094Z,False,,False,,False,,,
20120753,2012,7,Fifty Shades of Garay,5,82.32,3-4-0,7,Hardball with Ryan Mathews,3,96.52,4-3-0,6,2025-06-02T17:01:34.094Z,False,,False,,False,,,
20120814,2012,8,Forgetting Brandon Marshall,1,81.88,4-4-0,5,BedonkaGronk,4,135.16,7-1-0,1,2025-06-02T17:01:47.342Z,False,,False,,False,,,
201208611,2012,8,Dragon Army,6,110.18,4-4-0,7,Taco,11,71.04,4-4-0,6,2025-06-02T17:01:47.342Z,False,,False,,False,,,
201208210,2012,8,Forte Percent Chance of Wayne,2,54.76,1-7-0,12,ENDER,10,99.12,6-2-0,2,2025-06-02T17:01:47.342Z,False,,False,,False,,,
201208512,2012,8,Fifty Shades of Garay,5,83.4,3-5-0,9,Swagger Badgers,12,85.44,5-3-0,3,2025-06-02T17:01:47.342Z,False,,False,,False,,,
20120837,2012,8,Hardball with Ryan Mathews,3,84.76,5-3-0,4,I Got Weeden My Pocket,7,77.46,2-6-0,11,2025-06-02T17:01:47.342Z,False,,False,,False,,,
20120889,2012,8,Recepticons,8,64.38,4-4-0,8,Gimme the docta,9,61.38,3-5-0,10,2025-06-02T17:01:47.342Z,False,,False,,False,,,
20120942,2012,9,BedonkaGronk,4,112.76,8-1-0,1,Forte Percent Chance of Wayne,2,83.74,1-8-0,12,2025-06-02T17:02:00.166Z,False,,False,,False,,,
201209105,2012,9,ENDER,10,134.56,7-2-0,2,Fifty Shades of Garay,5,90.74,3-6-0,9,2025-06-02T17:02:00.166Z,False,,False,,False,,,
20120918,2012,9,Forgetting Brandon Marshall,1,102.54,5-4-0,4,Recepticons,8,51.9,4-5-0,8,2025-06-02T17:02:00.166Z,False,,False,,False,,,
201209113,2012,9,Taco,11,102.88,5-4-0,5,Hardball with Ryan Mathews,3,68.84,5-4-0,7,2025-06-02T17:02:00.166Z,False,,False,,False,,,
20120969,2012,9,Dragon Army,6,91.8,5-4-0,6,Gimme the docta,9,68.3,3-6-0,10,2025-06-02T17:02:00.166Z,False,,False,,False,,,
201209712,2012,9,I Got Weeden My Pocket,7,83.6,2-7-0,11,Swagger Badgers,12,133.42,6-3-0,3,2025-06-02T17:02:00.166Z,False,,False,,False,,,
2012101112,2012,10,Taco,11,98.9,6-4-0,4,Swagger Badgers,12,69.0,6-4-0,5,2025-06-02T17:02:13.206Z,False,,False,,False,,,
20121039,2012,10,Hardball with Ryan Mathews,3,77.18,5-5-0,7,Gimme the docta,9,103.94,4-6-0,10,2025-06-02T17:02:13.206Z,False,,False,,False,,,
20121054,2012,10,Fifty Shades of Garay,5,100.46,4-6-0,9,BedonkaGronk,4,73.48,8-2-0,1,2025-06-02T17:02:13.206Z,False,,False,,False,,,
20121012,2012,10,Forgetting Brandon Marshall,1,99.86,6-4-0,3,Forte Percent Chance of Wayne,2,83.54,1-9-0,12,2025-06-02T17:02:13.206Z,False,,False,,False,,,
20121076,2012,10,I Got Weeden My Pocket,7,80.98,2-8-0,11,Dragon Army,6,93.36,6-4-0,6,2025-06-02T17:02:13.206Z,False,,False,,False,,,
201210108,2012,10,ENDER,10,91.52,7-3-0,2,Recepticons,8,121.56,5-5-0,8,2025-06-02T17:02:13.206Z,False,,False,,False,,,
201211912,2012,11,Gimme the docta,9,81.34,5-6-0,10,Swagger Badgers,12,59.94,6-5-0,5,2025-06-02T17:02:26.107Z,False,,False,,False,,,
201211211,2012,11,Forte Percent Chance of Wayne,2,80.2,1-10-0,12,Taco,11,89.7,7-4-0,3,2025-06-02T17:02:26.107Z,False,,False,,False,,,
20121183,2012,11,Recepticons,8,81.1,6-5-0,7,Hardball with Ryan Mathews,3,77.98,5-6-0,9,2025-06-02T17:02:26.107Z,False,,False,,False,,,
20121151,2012,11,Fifty Shades of Garay,5,106.12,5-6-0,8,Forgetting Brandon Marshall,1,61.44,6-5-0,4,2025-06-02T17:02:26.107Z,False,,False,,False,,,
201211610,2012,11,Dragon Army,6,72.44,6-5-0,6,ENDER,10,87.46,8-3-0,2,2025-06-02T17:02:26.107Z,False,,False,,False,,,
20121147,2012,11,BedonkaGronk,4,97.44,8-3-0,1,I Got Weeden My Pocket,7,99.88,3-8-0,11,2025-06-02T17:02:26.107Z,False,,False,,False,,,
201212119,2012,12,Taco,11,106.24,7-5-0,3,Gimme the docta,9,142.66,6-6-0,7,2025-06-02T17:02:39.276Z,False,,False,,False,,,
20121271,2012,12,I Got Weeden My Pocket,7,68.84,3-9-0,11,Forgetting Brandon Marshall,1,83.74,7-5-0,4,2025-06-02T17:02:39.276Z,False,,False,,False,,,
201212212,2012,12,Forte Percent Chance of Wayne,2,63.5,1-11-0,12,Swagger Badgers,12,74.46,7-5-0,5,2025-06-02T17:02:39.276Z,False,,False,,False,,,
20121284,2012,12,Recepticons,8,90.3,6-6-0,10,BedonkaGronk,4,137.92,9-3-0,1,2025-06-02T17:02:39.276Z,False,,False,,False,,,
20121265,2012,12,Dragon Army,6,72.7,6-6-0,9,Fifty Shades of Garay,5,93.94,6-6-0,6,2025-06-02T17:02:39.276Z,False,,False,,False,,,
201212103,2012,12,ENDER,10,73.0,8-4-0,2,Hardball with Ryan Mathews,3,116.94,6-6-0,8,2025-06-02T17:02:39.276Z,False,,False,,False,,,
20121331,2012,13,Hardball with Ryan Mathews,3,103.98,6-7-0,10,Forgetting Brandon Marshall,1,108.12,8-5-0,4,2025-06-02T17:02:52.152Z,False,,False,,False,,,
20121392,2012,13,Gimme the docta,9,95.22,7-6-0,5,Forte Percent Chance of Wayne,2,70.68,1-12-0,12,2025-06-02T17:02:52.152Z,False,,False,,False,,,
20121346,2012,13,BedonkaGronk,4,82.92,9-4-0,1,Dragon Army,6,105.22,7-6-0,7,2025-06-02T17:02:52.152Z,False,,False,,False,,,
20121387,2012,13,Recepticons,8,89.6,7-6-0,8,I Got Weeden My Pocket,7,87.94,3-10-0,11,2025-06-02T17:02:52.152Z,False,,False,,False,,,
2012131210,2012,13,Swagger Badgers,12,74.14,7-6-0,6,ENDER,10,94.84,9-4-0,2,2025-06-02T17:02:52.152Z,False,,False,,False,,,
