game_id,season,week,home_team,home_team_id,home_points,home_record,home_rank,away_team,away_team_id,away_points,away_record,away_rank,scraped_at
201701112,2017,1,Nuthin but a Green Thang,1,88.84,1-0-0,2,Hooked on a Thielen,12,70.6,0-1-0,9,2025-06-22T05:33:26.698Z
20170129,2017,1,Don't Check My Pryors,2,75.04,0-1-0,8,Diggs It,9,77.14,1-0-0,5,2025-06-22T05:33:26.698Z
201701118,2017,1,Suicide Squad,11,62.64,0-1-0,10,O Beckham Where Art Thou,8,80.48,1-0-0,4,2025-06-22T05:33:26.698Z
20170165,2017,1,Roaring Rivers,6,92.72,0-1-0,6,Ultralight Kareem,5,105.22,1-0-0,1,2025-06-22T05:33:26.698Z
20170173,2017,1,New Gurley,7,83.54,1-0-0,3,Allen the Family,3,82.68,0-1-0,7,2025-06-22T05:33:26.698Z
20170212,2017,2,Nuthin but a Green Thang,1,92.9,1-1-0,6,Don't Check My Pryors,2,117.02,1-1-0,4,2025-06-22T05:33:39.683Z
2017021211,2017,2,Hooked on a Thielen,12,79.76,1-1-0,8,Suicide Squad,11,65.62,0-2-0,10,2025-06-22T05:33:39.683Z
20170296,2017,2,Diggs It,9,94.08,2-0-0,2,Roaring Rivers,6,83.46,0-2-0,9,2025-06-22T05:33:39.683Z
20170283,2017,2,O Beckham Where Art Thou,8,76.88,1-1-0,7,Allen the Family,3,106.4,1-1-0,5,2025-06-22T05:33:39.683Z
20170257,2017,2,Ultralight Kareem,5,92.72,1-1-0,3,New Gurley,7,98.24,2-0-0,1,2025-06-22T05:33:39.683Z
201703125,2017,3,Hooked on a Thielen,12,86.8,1-2-0,9,Ultralight Kareem,5,110.4,2-1-0,1,2025-06-22T05:33:52.459Z
201703211,2017,3,Don't Check My Pryors,2,74.02,2-1-0,5,Suicide Squad,11,62.98,0-3-0,10,2025-06-22T05:33:52.459Z
20170391,2017,3,Diggs It,9,69.66,2-1-0,6,Nuthin but a Green Thang,1,98.26,2-1-0,4,2025-06-22T05:33:52.459Z
20170378,2017,3,New Gurley,7,110.7,2-1-0,2,O Beckham Where Art Thou,8,123.22,2-1-0,3,2025-06-22T05:33:52.459Z
20170336,2017,3,Allen the Family,3,49.02,1-2-0,8,Roaring Rivers,6,77.02,1-2-0,7,2025-06-22T05:33:52.459Z
201704912,2017,4,Diggs It,9,94.58,2-2-0,7,Hooked on a Thielen,12,97.48,2-2-0,8,2025-06-22T05:34:05.499Z
201704111,2017,4,Suicide Squad,11,67.5,0-4-0,10,Nuthin but a Green Thang,1,91.24,3-1-0,3,2025-06-22T05:34:05.499Z
20170468,2017,4,Roaring Rivers,6,124.38,2-2-0,5,O Beckham Where Art Thou,8,97.68,2-2-0,4,2025-06-22T05:34:05.499Z
20170453,2017,4,Ultralight Kareem,5,103.5,3-1-0,1,Allen the Family,3,62.72,1-3-0,9,2025-06-22T05:34:05.499Z
20170472,2017,4,New Gurley,7,95.22,3-1-0,2,Don't Check My Pryors,2,86.66,2-2-0,6,2025-06-22T05:34:05.499Z
201705212,2017,5,Don't Check My Pryors,2,83.64,2-3-0,7,Hooked on a Thielen,12,101.14,3-2-0,6,2025-06-22T05:34:18.558Z
201705119,2017,5,Suicide Squad,11,105.34,1-4-0,10,Diggs It,9,80.26,2-3-0,8,2025-06-22T05:34:18.558Z
20170585,2017,5,O Beckham Where Art Thou,8,104.82,3-2-0,4,Ultralight Kareem,5,90.92,3-2-0,2,2025-06-22T05:34:18.558Z
20170567,2017,5,Roaring Rivers,6,117.36,3-2-0,3,New Gurley,7,59.2,3-2-0,5,2025-06-22T05:34:18.558Z
20170531,2017,5,Allen the Family,3,84.46,1-4-0,9,Nuthin but a Green Thang,1,92.46,4-1-0,1,2025-06-22T05:34:18.558Z
201706121,2017,6,Hooked on a Thielen,12,73.6,4-2-0,5,Nuthin but a Green Thang,1,63.18,4-2-0,4,2025-06-22T05:34:31.486Z
20170698,2017,6,Diggs It,9,90.52,2-4-0,7,O Beckham Where Art Thou,8,96.68,4-2-0,3,2025-06-22T05:34:31.486Z
201706112,2017,6,Suicide Squad,11,130.3,2-4-0,8,Don't Check My Pryors,2,46.92,2-4-0,9,2025-06-22T05:34:31.486Z
20170663,2017,6,Roaring Rivers,6,123.56,4-2-0,1,Allen the Family,3,114.74,1-5-0,10,2025-06-22T05:34:31.486Z
20170675,2017,6,New Gurley,7,100.44,3-3-0,6,Ultralight Kareem,5,112.52,4-2-0,2,2025-06-22T05:34:31.486Z
20170721,2017,7,Don't Check My Pryors,2,53.76,2-5-0,9,Nuthin but a Green Thang,1,70.92,5-2-0,3,2025-06-22T05:34:44.454Z
2017071112,2017,7,Suicide Squad,11,62.62,2-5-0,8,Hooked on a Thielen,12,82.16,5-2-0,4,2025-06-22T05:34:44.454Z
20170786,2017,7,O Beckham Where Art Thou,8,79.06,4-3-0,5,Roaring Rivers,6,109.74,5-2-0,1,2025-06-22T05:34:44.454Z
20170779,2017,7,New Gurley,7,106.14,4-3-0,6,Diggs It,9,92.52,2-5-0,7,2025-06-22T05:34:44.454Z
20170735,2017,7,Allen the Family,3,97.48,1-6-0,10,Ultralight Kareem,5,110.06,5-2-0,2,2025-06-22T05:34:44.454Z
20170813,2017,8,Nuthin but a Green Thang,1,53.92,5-3-0,4,Allen the Family,3,96.28,2-6-0,8,2025-06-22T05:34:57.394Z
201708127,2017,8,Hooked on a Thielen,12,97.62,6-2-0,3,New Gurley,7,79.86,4-4-0,5,2025-06-22T05:34:57.394Z
20170825,2017,8,Don't Check My Pryors,2,84.38,2-6-0,10,Ultralight Kareem,5,130.98,6-2-0,1,2025-06-22T05:34:57.394Z
201708811,2017,8,O Beckham Where Art Thou,8,69.22,4-4-0,6,Suicide Squad,11,116.68,3-5-0,7,2025-06-22T05:34:57.394Z
20170869,2017,8,Roaring Rivers,6,124.06,6-2-0,2,Diggs It,9,83.64,2-6-0,9,2025-06-22T05:34:57.394Z
201709111,2017,9,Nuthin but a Green Thang,1,76.6,5-4-0,5,Suicide Squad,11,97.7,4-5-0,7,2025-06-22T05:35:10.524Z
201709126,2017,9,Hooked on a Thielen,12,94.66,7-2-0,1,Roaring Rivers,6,66.48,6-3-0,3,2025-06-22T05:35:10.524Z
20170992,2017,9,Diggs It,9,93.76,3-6-0,9,Don't Check My Pryors,2,72.9,2-7-0,10,2025-06-22T05:35:10.524Z
20170958,2017,9,Ultralight Kareem,5,99.18,6-3-0,2,O Beckham Where Art Thou,8,114.34,5-4-0,4,2025-06-22T05:35:10.524Z
20170937,2017,9,Allen the Family,3,100.72,3-6-0,8,New Gurley,7,85.92,4-5-0,6,2025-06-22T05:35:10.524Z
20171019,2017,10,Nuthin but a Green Thang,1,103.66,6-4-0,4,Diggs It,9,93.8,3-7-0,9,2025-06-22T05:35:23.628Z
201710122,2017,10,Hooked on a Thielen,12,92.34,8-2-0,1,Don't Check My Pryors,2,69.18,2-8-0,10,2025-06-22T05:35:23.628Z
201710113,2017,10,Suicide Squad,11,83.54,4-6-0,8,Allen the Family,3,111.7,4-6-0,7,2025-06-22T05:35:23.628Z
20171087,2017,10,O Beckham Where Art Thou,8,78.64,5-5-0,5,New Gurley,7,81.06,5-5-0,6,2025-06-22T05:35:23.628Z
20171056,2017,10,Ultralight Kareem,5,72.82,6-4-0,3,Roaring Rivers,6,88.66,7-3-0,2,2025-06-22T05:35:23.628Z
201711911,2017,11,Diggs It,9,75.12,3-8-0,9,Suicide Squad,11,89.78,5-6-0,7,2025-06-22T05:35:36.663Z
20171162,2017,11,Roaring Rivers,6,122.04,8-3-0,1,Don't Check My Pryors,2,78.76,2-9-0,10,2025-06-22T05:35:36.663Z
20171151,2017,11,Ultralight Kareem,5,131.82,7-4-0,3,Nuthin but a Green Thang,1,83.26,6-5-0,6,2025-06-22T05:35:36.663Z
201711712,2017,11,New Gurley,7,112.2,6-5-0,4,Hooked on a Thielen,12,102.88,8-3-0,2,2025-06-22T05:35:36.663Z
20171138,2017,11,Allen the Family,3,71.3,4-7-0,8,O Beckham Where Art Thou,8,80.4,6-5-0,5,2025-06-22T05:35:36.663Z
201712129,2017,12,Hooked on a Thielen,12,110.88,9-3-0,1,Diggs It,9,64.18,3-9-0,9,2025-06-22T05:35:49.545Z
20171223,2017,12,Don't Check My Pryors,2,77.08,2-10-0,10,Allen the Family,3,121.66,5-7-0,7,2025-06-22T05:35:49.545Z
20171281,2017,12,O Beckham Where Art Thou,8,68.98,6-6-0,6,Nuthin but a Green Thang,1,85.86,7-5-0,5,2025-06-22T05:35:49.545Z
201712511,2017,12,Ultralight Kareem,5,106.62,8-4-0,2,Suicide Squad,11,69.02,5-7-0,8,2025-06-22T05:35:49.545Z
20171276,2017,12,New Gurley,7,128.74,7-5-0,4,Roaring Rivers,6,126.72,8-4-0,3,2025-06-22T05:35:49.545Z
20171317,2017,13,Nuthin but a Green Thang,1,86.28,7-6-0,5,New Gurley,7,113.06,8-5-0,4,2025-06-22T05:36:02.566Z
20171328,2017,13,Don't Check My Pryors,2,109.54,3-10-0,10,O Beckham Where Art Thou,8,88.52,6-7-0,7,2025-06-22T05:36:02.566Z
20171395,2017,13,Diggs It,9,81.12,3-10-0,9,Ultralight Kareem,5,99.38,9-4-0,1,2025-06-22T05:36:02.566Z
201713611,2017,13,Roaring Rivers,6,93.56,9-4-0,2,Suicide Squad,11,59.7,5-8-0,8,2025-06-22T05:36:02.566Z
201713312,2017,13,Allen the Family,3,101.6,6-7-0,6,Hooked on a Thielen,12,83.74,9-4-0,3,2025-06-22T05:36:02.566Z
20171416,2017,14,Nuthin but a Green Thang,1,87.9,7-7-0,5,Roaring Rivers,6,119.26,10-4-0,2,2025-06-22T05:36:15.634Z
201714117,2017,14,Suicide Squad,11,91.74,5-9-0,8,New Gurley,7,111.54,9-5-0,4,2025-06-22T05:36:15.634Z
