team_id,team_name,manager_name,user_id,waiver_priority,moves,trades,last_activity
1,Johnson and Johnson,Matt,646819,7,37,1,"Sat, Dec 22, 4:09pm"
6,Roaring Rivers of Freedom,Alexander,770387,3,29,0,"Sat, Dec 15, 5:40pm"
5,Kamara Obscura,Benjy,1750812,6,36,0,"Wed, Dec 19, 12:17pm"
3,Capn' Geno's,Cameron,1778244,9,52,1,"Fri, Dec 21, 4:50pm"
8,Pop Lockett Drop It,Nick,2028716,1,15,3,"Tue, Dec 4, 1:48pm"
4,Watson on Sunshine,Craig,2189986,5,25,1,"Thu, Dec 13, 11:07am"
10,Risk It For The Trubiscuit,Benjamin,2806797,2,9,0,"Fri, Nov 30, 8:42am"
2,ZekeZone,Ryan,2821640,12,48,2,"Sun, Dec 23, 6:05pm"
9,Mahomes Room,Kyle,3348683,11,26,3,"Wed, Dec 19, 9:37am"
7,The Great Gronksby,Zach,3848212,8,38,2,"Fri, Dec 21, 7:40pm"
11,BreesCassidyandtheStefonDiggs,Jake,3857345,4,23,0,"Wed, Dec 19, 3:41pm"
12,No League for Old Men,James,10235777,10,32,1,"Wed, Dec 19, 12:04pm"
