away_team,simulation_type,game_id,home_points,away_rank,away_points,away_team_id,season,home_team,week,scraped_at,home_record,home_team_id,is_simulated,home_rank,away_record
Risk It For The Trubiscuit,,2018011110,90.26,10,88.66,10,2018,BreesCassidyandtheStefonDiggs,1,2025-06-30T22:45:20.307Z,1-0-0,11,,6,0-1-0
Pop Lockett Drop It,,20180178,113.88,11,67.6,8,2018,The Great Gronksby,1,2025-06-30T22:45:20.307Z,1-0-0,7,,3,0-1-0
Mahomes Room,,20180149,95.14,5,96.92,9,2018,Watson on Sunshine,1,2025-06-30T22:45:20.307Z,0-1-0,4,,8,1-0-0
No League for Old Men,,201801512,114.64,9,93.84,12,2018,Kamara Obscura,1,2025-06-30T22:45:20.307Z,1-0-0,5,,2,0-1-0
Johnson and Johnson,,20180131,47.82,1,131.04,1,2018,Capn' Geno's,1,2025-06-30T22:45:20.307Z,0-1-0,3,,12,1-0-0
Roaring Rivers of Freedom,,20180126,105.66,4,107.96,6,2018,ZekeZone,1,2025-06-30T22:45:20.307Z,0-1-0,2,,7,1-0-0
The Great Gronksby,,201802117,118.72,8,64.76,7,2018,BreesCassidyandtheStefonDiggs,2,2025-06-30T22:45:33.628Z,2-0-0,11,,3,1-1-0
Capn' Geno's,,20180253,116.8,11,109.34,3,2018,Kamara Obscura,2,2025-06-30T22:45:33.628Z,2-0-0,5,,1,0-2-0
Roaring Rivers of Freedom,,20180296,114.14,7,85.04,6,2018,Mahomes Room,2,2025-06-30T22:45:33.628Z,2-0-0,9,,2,1-1-0
No League for Old Men,,201802812,71.94,9,83.48,12,2018,Pop Lockett Drop It,2,2025-06-30T22:45:33.628Z,0-2-0,8,,12,1-1-0
Watson on Sunshine,,20180224,95.16,4,111.7,4,2018,ZekeZone,2,2025-06-30T22:45:33.628Z,0-2-0,2,,10,1-1-0
Johnson and Johnson,,201802101,114.3,6,67.04,1,2018,Risk It For The Trubiscuit,2,2025-06-30T22:45:33.628Z,1-1-0,10,,5,1-1-0
Risk It For The Trubiscuit,,201803710,68.42,4,80.74,10,2018,The Great Gronksby,3,2025-06-30T22:45:46.922Z,1-2-0,7,,11,2-1-0
Capn' Geno's,,20180343,81.3,10,97.04,3,2018,Watson on Sunshine,3,2025-06-30T22:45:46.922Z,1-2-0,4,,6,1-2-0
BreesCassidyandtheStefonDiggs,,201803811,76.82,2,112.14,11,2018,Pop Lockett Drop It,3,2025-06-30T22:45:46.922Z,0-3-0,8,,12,3-0-0
No League for Old Men,,201803212,124.96,7,108.48,12,2018,ZekeZone,3,2025-06-30T22:45:46.922Z,1-2-0,2,,5,1-2-0
Roaring Rivers of Freedom,,20180356,101.6,9,76.44,6,2018,Kamara Obscura,3,2025-06-30T22:45:46.922Z,3-0-0,5,,1,1-2-0
Mahomes Room,,20180319,78.1,3,99.86,9,2018,Johnson and Johnson,3,2025-06-30T22:45:46.922Z,1-2-0,1,,8,3-0-0
No League for Old Men,,2018041012,164.68,8,106.38,12,2018,Risk It For The Trubiscuit,4,2025-06-30T22:45:59.658Z,3-1-0,10,,3,1-3-0
BreesCassidyandtheStefonDiggs,,201804511,135.38,4,92.28,11,2018,Kamara Obscura,4,2025-06-30T22:45:59.658Z,4-0-0,5,,1,3-1-0
Pop Lockett Drop It,,20180448,110.2,12,78.86,8,2018,Watson on Sunshine,4,2025-06-30T22:45:59.658Z,2-2-0,4,,6,0-4-0
Johnson and Johnson,,20180461,96,10,78.72,1,2018,Roaring Rivers of Freedom,4,2025-06-30T22:45:59.658Z,2-2-0,6,,7,1-3-0
The Great Gronksby,,20180497,84.06,11,74.86,7,2018,Mahomes Room,4,2025-06-30T22:45:59.658Z,4-0-0,9,,2,1-3-0
ZekeZone,,20180432,105.74,5,120.36,2,2018,Capn' Geno's,4,2025-06-30T22:45:59.658Z,1-3-0,3,,9,2-2-0
No League for Old Men,,201805112,110.78,10,107.42,12,2018,Johnson and Johnson,5,2025-06-30T22:46:13.215Z,2-3-0,1,,8,1-4-0
BreesCassidyandtheStefonDiggs,,201805311,62.82,3,119.12,11,2018,Capn' Geno's,5,2025-06-30T22:46:13.215Z,1-4-0,3,,11,4-1-0
Watson on Sunshine,,20180564,115.94,7,112.5,4,2018,Roaring Rivers of Freedom,5,2025-06-30T22:46:13.215Z,3-2-0,6,,5,2-3-0
Mahomes Room,,201805109,107.04,4,56.94,9,2018,Risk It For The Trubiscuit,5,2025-06-30T22:46:13.215Z,4-1-0,10,,2,4-1-0
Pop Lockett Drop It,,20180528,66.7,12,95.5,8,2018,ZekeZone,5,2025-06-30T22:46:13.215Z,2-3-0,2,,6,1-4-0
The Great Gronksby,,20180557,97.68,9,119.44,7,2018,Kamara Obscura,5,2025-06-30T22:46:13.215Z,4-1-0,5,,1,2-3-0
Roaring Rivers of Freedom,,20180636,93.8,4,98.28,6,2018,Capn' Geno's,6,2025-06-30T22:46:26.435Z,1-5-0,3,,12,4-2-0
Pop Lockett Drop It,,20180698,53.88,10,92.66,8,2018,Mahomes Room,6,2025-06-30T22:46:26.435Z,4-2-0,9,,5,2-4-0
Kamara Obscura,,201806105,118.42,1,141.3,5,2018,Risk It For The Trubiscuit,6,2025-06-30T22:46:26.435Z,4-2-0,10,,3,5-1-0
