home_rank,is_simulated,home_team_id,simulation_type,away_team_id,game_id,away_rank,away_record,week,home_points,season,home_record,away_points,scraped_at,home_team,away_team
5,,1,,2,20190112,9,0-1-0,1,92.3,2019,1-0-0,91.32,2025-07-01T00:12:34.792Z,Califournettecation,Taupe Blougholes
10,,3,,6,20190136,4,1-0-0,1,82.36,2019,0-1-0,111.02,2025-07-01T00:12:34.792Z,Macker Barrel Ol Country Store,Free Melvy
2,,5,,10,201901510,8,0-1-0,1,115.24,2019,1-0-0,104.52,2025-07-01T00:12:34.792Z,Jacobs' Ladder,MaHomes Depot
11,,11,,12,2019011112,1,1-0-0,1,82.22,2019,0-1-0,117.2,2025-07-01T00:12:34.792Z,Sasquontch,Fast Times at Ridley High
7,,4,,7,20190147,3,1-0-0,1,112.36,2019,0-1-0,112.82,2025-07-01T00:12:34.792Z,Christian Mingle,Zach and the Fucked by JuJu
12,,8,,9,20190189,6,1-0-0,1,74.3,2019,0-1-0,82.96,2025-07-01T00:12:34.792Z,Breezin,Avengers Engram
12,,3,,1,20190231,3,2-0-0,2,70.02,2019,0-2-0,83.4,2025-06-30T23:11:09.122Z,Macker Barrel Ol Country Store,Califournettecation
7,,2,,6,20190226,8,1-1-0,2,106.16,2019,1-1-0,79.72,2025-06-30T23:11:09.122Z,Taupe Blougholes,Free Melvy
11,,11,,5,201902115,2,2-0-0,2,76.74,2019,0-2-0,91.88,2025-06-30T23:11:09.122Z,Sasquontch,Jacobs' Ladder
4,,10,,12,2019021012,6,1-1-0,2,102.32,2019,1-1-0,81.8,2025-06-30T23:11:09.123Z,MaHomes Depot,Fast Times at Ridley High
10,,8,,4,20190284,5,1-1-0,2,91.36,2019,0-2-0,91.7,2025-06-30T23:11:09.123Z,Breezin,Christian Mingle
9,,7,,9,20190279,1,2-0-0,2,72.16,2019,1-1-0,139.66,2025-06-30T23:11:09.123Z,Zach and the Fucked by JuJu,Avengers Engram
7,,1,,6,20190316,3,2-1-0,3,97.3,2019,2-1-0,117.42,2025-06-30T23:11:22.079Z,Califournettecation,Free Melvy
9,,2,,3,20190323,10,1-2-0,3,65.3,2019,1-2-0,88.18,2025-06-30T23:11:22.079Z,Taupe Blougholes,Macker Barrel Ol Country Store
6,,5,,12,201903512,5,2-1-0,3,81.08,2019,2-1-0,99.24,2025-06-30T23:11:22.079Z,Jacobs' Ladder,Fast Times at Ridley High
2,,10,,11,2019031011,11,0-3-0,3,109.06,2019,2-1-0,105.96,2025-06-30T23:11:22.079Z,MaHomes Depot,Sasquontch
8,,4,,9,20190349,1,3-0-0,3,109.66,2019,1-2-0,134.44,2025-06-30T23:11:22.079Z,Christian Mingle,Avengers Engram
4,,7,,8,20190378,12,0-3-0,3,120.44,2019,2-1-0,92.14,2025-06-30T23:11:22.079Z,Zach and the Fucked by JuJu,Breezin
8,,1,,11,201904111,10,1-3-0,4,99.54,2019,2-2-0,113,2025-06-30T23:11:34.712Z,Califournettecation,Sasquontch
9,,2,,12,201904212,7,2-2-0,4,86.88,2019,2-2-0,79,2025-06-30T23:11:34.712Z,Taupe Blougholes,Fast Times at Ridley High
11,,3,,4,20190434,5,2-2-0,4,68.8,2019,1-3-0,114.08,2025-06-30T23:11:34.712Z,Macker Barrel Ol Country Store,Christian Mingle
3,,6,,7,20190467,6,2-2-0,4,106.1,2019,3-1-0,89.9,2025-06-30T23:11:34.712Z,Free Melvy,Zach and the Fucked by JuJu
4,,5,,8,20190458,12,0-4-0,4,78.08,2019,3-1-0,57.82,2025-06-30T23:11:34.712Z,Jacobs' Ladder,Breezin
2,,10,,9,201904109,1,3-1-0,4,119.1,2019,3-1-0,112.5,2025-06-30T23:11:34.712Z,MaHomes Depot,Avengers Engram
4,,12,,1,201905121,9,2-3-0,5,137.32,2019,3-2-0,102.66,2025-06-30T23:11:47.757Z,Fast Times at Ridley High,Califournettecation
11,,11,,2,201905112,7,3-2-0,5,83.86,2019,1-4-0,90.62,2025-06-30T23:11:47.757Z,Sasquontch,Taupe Blougholes
8,,7,,3,20190573,10,2-3-0,5,92.24,2019,2-3-0,104.94,2025-06-30T23:11:47.757Z,Zach and the Fucked by JuJu,Macker Barrel Ol Country Store
3,,4,,6,20190546,5,3-2-0,5,151.7,2019,3-2-0,88.12,2025-06-30T23:11:47.757Z,Christian Mingle,Free Melvy
