game_id,season,week,home_team,home_team_id,home_points,home_record,home_rank,away_team,away_team_id,away_points,away_record,away_rank,scraped_at,is_playoff,playoff_round,bracket,playoff_round_name
20190112,2019,1,Califournettecation,1,92.3,1-0-0,5,Taupe Blougholes,2,91.32,0-1-0,9,2025-07-01T00:12:34.792Z,False,,,
20190136,2019,1,Macker Barrel Ol Country Store,3,82.36,0-1-0,10,Free Melvy,6,111.02,1-0-0,4,2025-07-01T00:12:34.792Z,False,,,
201901510,2019,1,Jacobs' Ladder,5,115.24,1-0-0,2,MaHomes Depot,10,104.52,0-1-0,8,2025-07-01T00:12:34.792Z,False,,,
2019011112,2019,1,Sasquontch,11,82.22,0-1-0,11,Fast Times at Ridley High,12,117.2,1-0-0,1,2025-07-01T00:12:34.792Z,False,,,
20190147,2019,1,Christian Mingle,4,112.36,0-1-0,7,Zach and the Fucked by JuJu,7,112.82,1-0-0,3,2025-07-01T00:12:34.792Z,False,,,
20190189,2019,1,Breezin,8,74.3,0-1-0,12,Avengers Engram,9,82.96,1-0-0,6,2025-07-01T00:12:34.792Z,False,,,
20190231,2019,2,Macker Barrel Ol Country Store,3,70.02,0-2-0,12,Califournettecation,1,83.4,2-0-0,3,2025-06-30T23:11:09.122Z,False,,,
20190226,2019,2,Taupe Blougholes,2,106.16,1-1-0,7,Free Melvy,6,79.72,1-1-0,8,2025-06-30T23:11:09.122Z,False,,,
201902115,2019,2,Sasquontch,11,76.74,0-2-0,11,Jacobs' Ladder,5,91.88,2-0-0,2,2025-06-30T23:11:09.122Z,False,,,
2019021012,2019,2,MaHomes Depot,10,102.32,1-1-0,4,Fast Times at Ridley High,12,81.8,1-1-0,6,2025-06-30T23:11:09.123Z,False,,,
20190284,2019,2,Breezin,8,91.36,0-2-0,10,Christian Mingle,4,91.7,1-1-0,5,2025-06-30T23:11:09.123Z,False,,,
20190279,2019,2,Zach and the Fucked by JuJu,7,72.16,1-1-0,9,Avengers Engram,9,139.66,2-0-0,1,2025-06-30T23:11:09.123Z,False,,,
20190316,2019,3,Califournettecation,1,97.3,2-1-0,7,Free Melvy,6,117.42,2-1-0,3,2025-06-30T23:11:22.079Z,False,,,
20190323,2019,3,Taupe Blougholes,2,65.3,1-2-0,9,Macker Barrel Ol Country Store,3,88.18,1-2-0,10,2025-06-30T23:11:22.079Z,False,,,
201903512,2019,3,Jacobs' Ladder,5,81.08,2-1-0,6,Fast Times at Ridley High,12,99.24,2-1-0,5,2025-06-30T23:11:22.079Z,False,,,
2019031011,2019,3,MaHomes Depot,10,109.06,2-1-0,2,Sasquontch,11,105.96,0-3-0,11,2025-06-30T23:11:22.079Z,False,,,
20190349,2019,3,Christian Mingle,4,109.66,1-2-0,8,Avengers Engram,9,134.44,3-0-0,1,2025-06-30T23:11:22.079Z,False,,,
20190378,2019,3,Zach and the Fucked by JuJu,7,120.44,2-1-0,4,Breezin,8,92.14,0-3-0,12,2025-06-30T23:11:22.079Z,False,,,
201904111,2019,4,Califournettecation,1,99.54,2-2-0,8,Sasquontch,11,113.0,1-3-0,10,2025-06-30T23:11:34.712Z,False,,,
201904212,2019,4,Taupe Blougholes,2,86.88,2-2-0,9,Fast Times at Ridley High,12,79.0,2-2-0,7,2025-06-30T23:11:34.712Z,False,,,
20190434,2019,4,Macker Barrel Ol Country Store,3,68.8,1-3-0,11,Christian Mingle,4,114.08,2-2-0,5,2025-06-30T23:11:34.712Z,False,,,
20190467,2019,4,Free Melvy,6,106.1,3-1-0,3,Zach and the Fucked by JuJu,7,89.9,2-2-0,6,2025-06-30T23:11:34.712Z,False,,,
20190458,2019,4,Jacobs' Ladder,5,78.08,3-1-0,4,Breezin,8,57.82,0-4-0,12,2025-06-30T23:11:34.712Z,False,,,
201904109,2019,4,MaHomes Depot,10,119.1,3-1-0,2,Avengers Engram,9,112.5,3-1-0,1,2025-06-30T23:11:34.712Z,False,,,
201905121,2019,5,Fast Times at Ridley High,12,137.32,3-2-0,4,Califournettecation,1,102.66,2-3-0,9,2025-06-30T23:11:47.757Z,False,,,
201905112,2019,5,Sasquontch,11,83.86,1-4-0,11,Taupe Blougholes,2,90.62,3-2-0,7,2025-06-30T23:11:47.757Z,False,,,
