home_record,home_points,away_rank,away_record,simulation_type,game_id,home_team,away_team,scraped_at,week,season,away_team_id,home_team_id,away_points,is_simulated,home_rank
1-0-0,142.62,7,0-1-0,,20200112,BDKE,WILSON,2025-07-01T00:28:04.226Z,1,2020,2,1,100.98,,1
1-0-0,100.92,8,0-1-0,,20200139,Some Like it Hop,RushMoore,2025-07-01T00:28:04.226Z,1,2020,9,3,98.6,,4
0-1-0,56.34,5,1-0-0,,20200156,Courtland's Trailblazers,HYDROCOOKERS,2025-07-01T00:28:04.226Z,1,2020,6,5,92.24,,12
0-1-0,87.58,2,1-0-0,,202001107,Kupp Pong,Swimming with the Charks,2025-07-01T00:28:04.226Z,1,2020,7,10,113.3,,9
0-1-0,85.7,3,1-0-0,,202001811,Judge Jeudy,Tyrannosaurus Reek,2025-07-01T00:28:04.226Z,1,2020,11,8,104.6,,10
0-1-0,81.2,6,1-0-0,,202001412,Big Trouble in Kittle China,Godwin Of War,2025-07-01T00:28:04.226Z,1,2020,12,4,86.2,,11
1-1-0,86.3,4,2-0-0,,20200213,BDKE,Some Like it Hop,2025-07-01T00:24:46.803Z,2,2020,3,1,90.86,,5
0-2-0,118.02,2,2-0-0,,20200226,WILSON,HYDROCOOKERS,2025-07-01T00:24:46.803Z,2,2020,6,2,121.68,,9
0-2-0,128.9,6,1-1-0,,202002105,Kupp Pong,Courtland's Trailblazers,2025-07-01T00:24:46.803Z,2,2020,5,10,129.4,,10
2-0-0,96.56,11,0-2-0,,202002119,Tyrannosaurus Reek,RushMoore,2025-07-01T00:24:46.803Z,2,2020,9,11,95.84,,3
0-2-0,92.6,7,1-1-0,,20200248,Big Trouble in Kittle China,Judge Jeudy,2025-07-01T00:24:46.803Z,2,2020,8,4,94.78,,12
1-1-0,82.22,1,2-0-0,,202002127,Godwin Of War,Swimming with the Charks,2025-07-01T00:24:46.803Z,2,2020,7,12,121.18,,8
3-0-0,108.3,11,0-3-0,,20200332,Some Like it Hop,WILSON,2025-07-01T00:24:59.819Z,3,2020,2,3,107.8,,3
2-1-0,84.68,7,1-2-0,,20200351,Courtland's Trailblazers,BDKE,2025-07-01T00:24:59.819Z,3,2020,1,5,71.86,,6
3-0-0,138.7,10,0-3-0,,202003610,HYDROCOOKERS,Kupp Pong,2025-07-01T00:24:59.819Z,3,2020,10,6,136.24,,1
2-1-0,105.18,8,1-2-0,,202003812,Judge Jeudy,Godwin Of War,2025-07-01T00:24:59.819Z,3,2020,12,8,95.6,,5
0-3-0,87.7,9,1-2-0,,20200394,RushMoore,Big Trouble in Kittle China,2025-07-01T00:24:59.819Z,3,2020,4,9,89.42,,12
2-1-0,71.58,2,3-0-0,,202003711,Swimming with the Charks,Tyrannosaurus Reek,2025-07-01T00:24:59.819Z,3,2020,11,7,110.78,,4
2-2-0,101.6,2,3-1-0,,20200416,BDKE,HYDROCOOKERS,2025-07-01T00:25:12.849Z,4,2020,6,1,76.84,,5
1-3-0,113.6,7,2-2-0,,20200425,WILSON,Courtland's Trailblazers,2025-07-01T00:25:12.849Z,4,2020,5,2,111.26,,10
1-3-0,105.22,4,3-1-0,,202004103,Kupp Pong,Some Like it Hop,2025-07-01T00:25:12.849Z,4,2020,3,10,66.7,,9
2-2-0,103.14,1,3-1-0,,20200487,Judge Jeudy,Swimming with the Charks,2025-07-01T00:25:12.849Z,4,2020,7,8,129.84,,6
3-1-0,105.72,8,2-2-0,,202004114,Tyrannosaurus Reek,Big Trouble in Kittle China,2025-07-01T00:25:12.849Z,4,2020,4,11,113.88,,3
1-3-0,90.4,11,1-3-0,,202004129,Godwin Of War,RushMoore,2025-07-01T00:25:12.849Z,4,2020,9,12,109.32,,12
2-3-0,104.98,4,3-2-0,,20200523,WILSON,Some Like it Hop,2025-07-01T00:25:25.534Z,5,2020,3,2,103.46,,6
2-3-0,60.94,5,2-3-0,,202005510,Courtland's Trailblazers,Kupp Pong,2025-07-01T00:25:25.534Z,5,2020,10,5,98.32,,12
4-1-0,87.7,10,2-3-0,,20200568,HYDROCOOKERS,Judge Jeudy,2025-07-01T00:25:25.534Z,5,2020,8,6,77.02,,2
2-3-0,112.2,3,3-2-0,,202005911,RushMoore,Tyrannosaurus Reek,2025-07-01T00:25:25.534Z,5,2020,11,9,88.9,,8
4-1-0,94.32,11,2-3-0,,20200574,Swimming with the Charks,Big Trouble in Kittle China,2025-07-01T00:25:25.534Z,5,2020,4,7,69.84,,1
2-3-0,133.14,7,2-3-0,,202005121,Godwin Of War,BDKE,2025-07-01T00:25:25.534Z,5,2020,1,12,114.06,,9
