scraped_at,home_team_id,game_id,home_team,away_team,away_team_id,season,home_points,away_record,simulation_type,away_points,is_simulated,home_rank,week,home_record,away_rank,is_playoff,playoff_round,bracket,playoff_round_name
2025-07-01T02:02:03.522Z,8,20210181,Taylor Swift,The Uncanny Eks-Men,1,2021,105.08,0-1-0,,97.9,,3,1,1-0-0,7,False,,,
2025-07-01T02:02:03.522Z,4,202101412,I Tonyan,The Kyler Sisters,12,2021,88.3,1-0-0,,97.06,,9,1,0-1-0,4,False,,,
2025-07-01T02:02:03.522Z,2,202101210,Dalvin and Hobbs,Tom and Terry,10,2021,74.88,1-0-0,,80.2,,12,1,0-1-0,6,False,,,
2025-07-01T02:02:03.522Z,11,202101117,Tyrannosaurus Reek II,SLamb Dunkin',7,2021,94.04,0-1-0,,85.44,,5,1,1-0-0,10,False,,,
2025-07-01T02:02:03.522Z,9,20210193,Dak Flashes,Hockensockem Robots,3,2021,107.52,0-1-0,,82.02,,2,1,1-0-0,11,False,,,
2025-07-01T02:02:03.522Z,5,20210156,Chubb Scouts,Hydroslayers,6,2021,129.26,0-1-0,,89.88,,1,1,1-0-0,8,False,,,
2025-07-01T01:41:27.761Z,8,20210286,Taylor Swift,Hydroslayers,6,2021,68.22,1-1-0,,71.92,,6,2,1-1-0,8,False,,,
2025-07-01T01:41:27.761Z,12,202102125,The Kyler Sisters,Chubb Scouts,5,2021,104.7,2-0-0,,123.6,,3,2,1-1-0,1,False,,,
2025-07-01T01:41:27.761Z,1,20210214,The Uncanny Eks-Men,I Tonyan,4,2021,90.32,1-1-0,,103.36,,12,2,0-2-0,4,False,,,
2025-07-01T01:41:27.761Z,7,202102710,SLamb Dunkin',Tom and Terry,10,2021,121.16,2-0-0,,142.34,,11,2,0-2-0,2,False,,,
2025-07-01T01:41:27.761Z,9,20210292,Dak Flashes,Dalvin and Hobbs,2,2021,54.18,1-1-0,,114.84,,9,2,1-1-0,5,False,,,
2025-07-01T01:41:27.761Z,11,202102113,Tyrannosaurus Reek II,Hockensockem Robots,3,2021,62.38,1-1-0,,80.42,,10,2,1-1-0,7,False,,,
2025-07-01T01:41:40.673Z,4,20210346,I Tonyan,Hydroslayers,6,2021,113.12,1-2-0,,108.74,,3,3,2-1-0,9,False,,,
