home_points,away_team_id,away_rank,week,simulation_type,home_team,scraped_at,home_rank,game_id,is_simulated,away_points,home_team_id,home_record,away_team,away_record,season
122.28,4,10,1,,Chubbinator 2 Judgment Day,2025-07-01T02:37:28.722Z,3,20220124,,84.12,2,1-0-0,Super Lamario Sunshine,0-1-0,2022
122.56,8,2,1,,Koo D'etat,2025-07-01T02:37:28.722Z,7,20220168,,128.42,6,0-1-0,Bot boy,1-0-0,2022
94.48,7,1,1,,Lazy Lazard Saloon,2025-07-01T02:37:28.722Z,9,20220137,,154.82,3,0-1-0,Ja'marroquai,1-0-0,2022
106.22,12,8,1,,JJ the Jet Plane,2025-07-01T02:37:28.723Z,4,2022011112,,96.4,11,1-0-0,Mad Mixon,0-1-0,2022
103,5,11,1,,The Wrath of Quon,2025-07-01T02:37:28.723Z,5,20220115,,80.96,1,1-0-0,The Najee Trois,0-1-0,2022
70.56,10,12,1,,Magnum TI,2025-07-01T02:37:28.723Z,6,202201910,,70.48,9,1-0-0,Tom and Terry,0-1-0,2022
87.16,2,2,2,,Koo D'etat,2025-07-01T02:37:41.713Z,10,20220262,,137.08,6,0-2-0,Chubbinator 2 Judgment Day,2-0-0,2022
118.42,8,6,2,,Super Lamario Sunshine,2025-07-01T02:37:41.713Z,5,20220248,,73.36,4,1-1-0,Bot boy,1-1-0,2022
69.48,3,7,2,,JJ the Jet Plane,2025-07-01T02:37:41.713Z,8,202202113,,89.8,11,1-1-0,Lazy Lazard Saloon,1-1-0,2022
132.02,12,11,2,,Ja'marroquai,2025-07-01T02:37:41.713Z,1,202202712,,87.56,7,2-0-0,Mad Mixon,0-2-0,2022
94.8,1,3,2,,Magnum TI,2025-07-01T02:37:41.713Z,9,20220291,,99.3,9,1-1-0,The Wrath of Quon,2-0-0,2022
146.28,10,12,2,,The Najee Trois,2025-07-01T02:37:41.713Z,4,202202510,,103.18,5,1-1-0,Tom and Terry,0-2-0,2022
94.4,8,11,3,,Chubbinator 2 Judgment Day,2025-07-01T02:37:54.682Z,1,20220328,,73.3,2,3-0-0,Bot boy,1-2-0,2022
