year,nomination,round,pick,overall_pick,player_id,player_name,position,nfl_team,fantasy_team_id,fantasy_team_name,owner_name,auction_cost,draft_type,scraped_at
2011,,1,1,1,2507164,Adrian Peterson,RB,MIN,8,Free DOME,Tim,,snake,2025-07-01T16:33:41.990172
2011,,1,2,2,941,Ray Rice,RB,BAL,5,Fencing Beats Football,Cameron,,snake,2025-07-01T16:33:41.990419
2011,,1,3,3,2506363,Aaron Rodgers,QB,GB,6,Swagger Badgers,Ross,,snake,2025-07-01T16:33:41.990640
2011,,1,4,4,2504531,Michael Vick,QB,PHI,1,The REVolution,Matt,,snake,2025-07-01T16:33:41.990864
2011,,1,5,5,925,Jamaal Charles,RB,KC,4,HOLDEN CAUFIELDS,Benjy,,snake,2025-07-01T16:33:41.991086
2011,,1,6,6,79555,Arian Foster,RB,HOU,7,Big Bird's Barbarians,Nick,,snake,2025-07-01T16:33:41.991309
2011,,1,7,7,262,Chris Johnson,RB,TEN,3,D Street Corsairs,Andrew,,snake,2025-07-01T16:33:41.991524
2011,,1,8,8,310,Matt Ryan,QB,ATL,10,Village Park Recreational Club,Craig,,snake,2025-07-01T16:33:41.991735
2011,,1,9,9,939,Rashard Mendenhall,RB,PIT,9,Go Pack Go,Ryan,,snake,2025-07-01T16:33:41.991954
2011,,1,10,10,2495831,Maurice Jones-Drew,RB,JAC,2,Granger Danger,Alexander,,snake,2025-07-01T16:33:41.992191
2011,,2,11,23,2504211,Tom Brady,QB,NE,2,Granger Danger,Alexander,,snake,2025-07-01T16:33:42.752800
2011,,2,12,24,284,Darren McFadden,RB,LV,9,Go Pack Go,Ryan,,snake,2025-07-01T16:33:42.752955
2011,,2,13,25,2506106,Larry Fitzgerald,WR,ARI,10,Village Park Recreational Club,Craig,,snake,2025-07-01T16:33:42.753097
2011,,2,14,26,2504775,Drew Brees,QB,NO,3,D Street Corsairs,Andrew,,snake,2025-07-01T16:33:42.753247
2011,,2,15,27,2506121,Philip Rivers,QB,LAC,7,Big Bird's Barbarians,Nick,,snake,2025-07-01T16:33:42.753397
2011,,2,16,28,2505982,Matt Schaub,QB,HOU,4,HOLDEN CAUFIELDS,Benjy,,snake,2025-07-01T16:33:42.753539
2011,,2,17,29,2506404,Frank Gore,RB,SF,1,The REVolution,Matt,,snake,2025-07-01T16:33:42.753681
2011,,2,18,30,2505551,Andre Johnson,WR,HOU,6,Swagger Badgers,Ross,,snake,2025-07-01T16:33:42.753828
2011,,2,19,31,2505996,Eli Manning,QB,NYG,5,Fencing Beats Football,Cameron,,snake,2025-07-01T16:33:42.753968
2011,,2,20,32,79607,LeSean McCoy,RB,PHI,8,Free DOME,Tim,,snake,2025-07-01T16:33:42.754114
2011,,3,21,45,2506366,Roddy White,WR,ATL,8,Free DOME,Tim,,snake,2025-07-01T16:33:43.480824
2011,,3,22,46,2506014,Michael Turner,RB,ATL,5,Fencing Beats Football,Cameron,,snake,2025-07-01T16:33:43.481114
2011,,3,23,47,2505936,Steven Jackson,RB,STL,6,Swagger Badgers,Ross,,snake,2025-07-01T16:33:43.481373
2011,,3,24,48,2495867,Greg Jennings,WR,GB,1,The REVolution,Matt,,snake,2025-07-01T16:33:43.481734
2011,,3,25,49,1581,DeSean Jackson,WR,PHI,4,HOLDEN CAUFIELDS,Benjy,,snake,2025-07-01T16:33:43.482001
2011,,3,26,50,2495647,Calvin Johnson,WR,DET,7,Big Bird's Barbarians,Nick,,snake,2025-07-01T16:33:43.482248
2011,,3,27,51,2495560,Ahmad Bradshaw,RB,NYG,3,D Street Corsairs,Andrew,,snake,2025-07-01T16:33:43.482486
2011,,3,28,52,100005,Chicago Bears,,,10,Village Park Recreational Club,Craig,,snake,2025-07-01T16:33:43.482719
2011,,3,29,53,80672,Hakeem Nicks,WR,NYG,9,Go Pack Go,Ryan,,snake,2025-07-01T16:33:43.482949
2011,,3,30,54,2495979,DeAngelo Williams,RB,CAR,2,Granger Danger,Alexander,,snake,2025-07-01T16:33:43.483195
2011,,4,31,67,2506400,Vincent Jackson,WR,LAC,2,Granger Danger,Alexander,,snake,2025-07-01T16:33:44.356478
2011,,4,32,68,2507763,Mike Wallace,WR,PIT,9,Go Pack Go,Ryan,,snake,2025-07-01T16:33:44.356770
2011,,4,33,69,234,Matt Forte,RB,CHI,10,Village Park Recreational Club,Craig,,snake,2025-07-01T16:33:44.357012
2011,,4,34,70,2504747,Reggie Wayne,WR,IND,3,D Street Corsairs,Andrew,,snake,2025-07-01T16:33:44.357226
2011,,4,35,71,100011,Green Bay Packers,,,7,Big Bird's Barbarians,Nick,,snake,2025-07-01T16:33:44.357441
2011,,4,36,72,2505299,Antonio Gates,TE,LAC,4,HOLDEN CAUFIELDS,Benjy,,snake,2025-07-01T16:33:44.357664
2011,,4,37,73,1072,Jermichael Finley,TE,GB,1,The REVolution,Matt,,snake,2025-07-01T16:33:44.357879
2011,,4,38,74,100027,Pittsburgh Steelers,,,6,Swagger Badgers,Ross,,snake,2025-07-01T16:33:44.358099
2011,,4,39,75,2504651,Chad Ochocinco,WR,NE,5,Fencing Beats Football,Cameron,,snake,2025-07-01T16:33:44.358322
2011,,4,40,76,2501863,Peyton Manning,QB,IND,8,Free DOME,Tim,,snake,2025-07-01T16:33:44.358539
2011,,5,41,89,2495801,Miles Austin,WR,DAL,8,Free DOME,Tim,,snake,2025-07-01T16:33:45.172709
2011,,5,42,90,2495558,Dwayne Bowe,WR,KC,5,Fencing Beats Football,Cameron,,snake,2025-07-01T16:33:45.172971
2011,,5,43,91,2505629,Jason Witten,TE,DAL,6,Swagger Badgers,Ross,,snake,2025-07-01T16:33:45.173319
2011,,5,44,92,2506885,Santonio Holmes,WR,NYJ,1,The REVolution,Matt,,snake,2025-07-01T16:33:45.173604
