year,nomination,player_id,player_name,position,nfl_team,fantasy_team_id,fantasy_team_name,owner_name,auction_cost,draft_type,scraped_at
2022,1,2560968,Saquon Barkley,RB,NYG,1,The Wrath of Quon,Matt,31.0,auction,2025-07-01T16:39:21.215878
2022,2,2560955,Josh Allen,QB,BUF,2,Chubbinator 2 Judgment Day,Ryan,34.0,auction,2025-07-01T16:39:21.216152
2022,3,2557991,Dalvin Cook,RB,MIN,3,Lazy Lazard Saloon,Cameron,46.0,auction,2025-07-01T16:39:21.216400
2022,4,2559169,Austin Ekeler,RB,LAC,4,Super Lamario Sunshine,Craig,58.0,auction,2025-07-01T16:39:21.216581
2022,5,2566448,Najee Harris,RB,PIT,5,The Najee Trois,Benjy,42.0,auction,2025-07-01T16:39:21.216803
2022,6,2543495,Davante Adams,WR,LV,6,Koo D'etat,Alexander,32.0,auction,2025-07-01T16:39:21.216986
2022,7,2565941,Ja'Marr Chase,WR,CIN,7,Ja'marroquai,Zach,41.0,auction,2025-07-01T16:39:21.217157
2022,8,2564148,Jonathan Taylor,RB,IND,8,Bot boy,Nick,77.0,auction,2025-07-01T16:39:21.217319
2022,9,2557997,Christian McCaffrey,RB,SF,9,Magnum TI,Kyle,58.0,auction,2025-07-01T16:39:21.217482
2022,10,2558019,Alvin Kamara,RB,NO,10,Tom and Terry,Cole,37.0,auction,2025-07-01T16:39:21.217646
2022,11,2556075,Derrick Henry,RB,TEN,11,JJ the Jet Plane,Jake,66.0,auction,2025-07-01T16:39:21.217826
2022,12,2557976,Joe Mixon,RB,CIN,12,Mad Mixon,James,47.0,auction,2025-07-01T16:39:21.217996
2022,13,2565276,Antonio Gibson,RB,WAS,1,The Wrath of Quon,Matt,28.0,auction,2025-07-01T16:39:21.218157
2022,14,2562502,David Montgomery,RB,DET,2,Chubbinator 2 Judgment Day,Ryan,31.0,auction,2025-07-01T16:39:21.218319
2022,15,2556214,Tyreek Hill,WR,MIA,3,Lazy Lazard Saloon,Cameron,25.0,auction,2025-07-01T16:39:21.218477
2022,16,2557973,Leonard Fournette,RB,TB,4,Super Lamario Sunshine,Craig,36.0,auction,2025-07-01T16:39:21.218638
2022,17,2557898,Cooper Kupp,WR,LA,5,The Najee Trois,Benjy,51.0,auction,2025-07-01T16:39:21.218788
2022,18,2555224,Ezekiel Elliott,RB,DAL,6,Koo D'etat,Alexander,28.0,auction,2025-07-01T16:39:21.218926
